edge_id;from;to;flow
-38882688#1;674032308;292196375;0.98
727715778;6570615651;3450194566;0.88
-85998572;6564427653;418762926;0.87
-863812553#0;461904661;3734564756;0.87
-98219801;1136253012;1136247053;0.86
220308739;461889789;6570615651;0.86
257675022;2631567586;2631567572;0.86
337944376;3450194566;461904730;0.86
446146120;2650598984;2631675887;0.86
730423881;cluster_719065307_719065650;6842513229;0.86
85998574#0;cluster_3450194535_3450194536_3450194559_461891455;674226424;0.86
903757106;4148965688;5268060649;0.86
976064442;9032747232;2650598984;0.86
98220043#7;1136250910;cluster_1136247008_2650550123;0.86
997141716;2631567564;2631567577;0.86
-368735347#2;686822428;2631705616;0.85
-376301524#1;807143059;715598554;0.85
-376301524#4;717715399;807143059;0.85
155109982;294519414;1684366269;0.85
209443772#0;1675451814;1675451805;0.85
209443772#1;209443772#1-AddedOnRampNode;1684366237;0.85
209443772#1-AddedOnRampEdge;1675451805;209443772#1-AddedOnRampNode;0.85
209443772#2;209443772#2-AddedOnRampNode;209443772#2-AddedOffRampNode;0.85
209443772#2-AddedOffRampEdge;209443772#2-AddedOffRampNode;2565986050;0.85
209443772#2-AddedOnRampEdge;1684366237;209443772#2-AddedOnRampNode;0.85
369991622;1684366269;369991622-AddedOffRampNode;0.85
369991622-AddedOffRampEdge;369991622-AddedOffRampNode;1675451814;0.85
66764680#0;807143059;3780624615;0.85
85998574#1;674226424;461904640;0.85
-98220043#6;1136250910;1136246861;0.84
85998574#2;461904640;292205846;0.84
997141718;2631567572;2631567561;0.84
-131253376#0;719065128;cluster_719065307_719065650;0.83
-319674206;1603979987;717715399;0.83
-769570652;3450194563;292206234;0.83
53731183#1-AddedOnRampEdge;461904730;53731183#1-AddedOnRampNode;0.83
85998576;418762926;3734564756;0.83
997141717;2631567561;2631567564;0.83
53731186;292205846;418762926;0.82
863114957#0;2178370384;4148965688;0.82
-1068897312#2;719065134;719065615;0.81
-38882688#0;292196375;461889789;0.81
-80186402#1;935539940;935540067;0.81
334461376#0;2650550082;1136253012;0.81
98220043#9;cluster_1136247008_2650550123;2650550082;0.81
-131253373#0;6478384026;719065128;0.8
