edge_id,from,to,flow
-38882688#1,0,1,0.98
727715778,2,3,0.88
-85998572,4,5,0.87
-863812553#0,6,7,0.87
-98219801,8,9,0.86
220308739,10,2,0.86
257675022,11,12,0.86
337944376,3,13,0.86
446146120,14,15,0.86
730423881,16,17,0.86
85998574#0,18,19,0.86
903757106,20,21,0.86
976064442,22,14,0.86
98220043#7,23,24,0.86
997141716,25,26,0.86
-368735347#2,27,28,0.85
-376301524#1,29,30,0.85
-376301524#4,31,29,0.85
155109982,32,33,0.85
209443772#0,34,35,0.85
209443772#1,36,37,0.85
209443772#1-AddedOnRampEdge,35,36,0.85
209443772#2,38,39,0.85
209443772#2-AddedOffRampEdge,39,40,0.85
209443772#2-AddedOnRampEdge,37,38,0.85
369991622,33,41,0.85
369991622-AddedOffRampEdge,41,34,0.85
66764680#0,29,42,0.85
85998574#1,19,43,0.85
-98220043#6,23,44,0.84
85998574#2,43,45,0.84
997141718,12,46,0.84
-131253376#0,47,16,0.83
-319674206,48,31,0.83
-769570652,49,50,0.83
53731183#1-AddedOnRampEdge,13,51,0.83
85998576,5,7,0.83
997141717,46,25,0.83
53731186,45,5,0.82
863114957#0,52,20,0.82
-1068897312#2,53,54,0.81
-38882688#0,1,10,0.81
-80186402#1,55,56,0.81
334461376#0,57,8,0.81
98220043#9,24,57,0.81
-131253373#0,58,47,0.8
370163290,59,60,0.79
85998572,5,4,0.76
-413607248,61,20,0.74
863812553#0,7,6,0.73
997141714,62,11,0.7
-690511446,63,58,0.69
53731183#1,51,18,0.67
26640123,64,65,0.66
-863121402,66,67,0.52
510022602#2,68,69,0.52
-419681616#0,70,71,0.39
38882688#1,1,0,0.33
564521470,72,22,0.33
-1000639354,73,74,0.0
-100956974#0,75,76,0.0
-100957047,77,75,0.0
-100957056#1,78,79,0.0
-1014588116,80,81,0.0
-1014588117#0,82,83,0.0
-1014588117#2,84,82,0.0
-1014603648,67,21,0.0
-101787389#1,85,86,0.0
-101787389#2,87,85,0.0
-1021118269,88,27,0.0
-1021118270#5,87,89,0.0
-104783655,90,91,0.0
-1064164653#0,92,93,0.0
-1064164653#1,94,92,0.0
-106550056,95,96,0.0
-106565699,97,98,0.0
-106565700#0,99,98,0.0
-106565700#1,100,99,0.0
-106571470#2,101,102,0.0
-106682043,103,104,0.0
-106682054#0,103,105,0.0
-106682054#2,106,103,0.0
-1066920921#1,107,108,0.0
-1066920921#4,109,107,0.0
-1068897312#1,54,110,0.0
-1068897312#3,111,53,0.0
-1097489394,112,113,0.0
-1097493784,114,115,0.0
-1104375917,116,117,0.0
-1112296911,118,119,0.0
-113050825#3,120,121,0.0
-113591024#1,122,123,0.0
-1228413140#1,124,125,0.0
-1234360587#1,126,127,0.0
-124614729,128,129,0.0
-124614742,130,131,0.0
-124614747#0,132,128,0.0
-124614747#1,133,132,0.0
-124614753,134,135,0.0
-124614762,136,137,0.0
-124766961#1,138,139,0.0
-124766961#2,140,138,0.0
-124766961#3,141,140,0.0
-124766961#4,142,141,0.0
-124766961#5,143,142,0.0
-124777541#6,144,145,0.0
-124797121,146,147,0.0
-124797123#0,148,149,0.0
-124797123#1,150,148,0.0
-124797124#1,151,152,0.0
-124797124#2,149,151,0.0
-124797127#1,151,153,0.0
-124797127#2,154,151,0.0
-1261871566,155,156,0.0
-1270580092#0,27,157,0.0
-1278864559#1,158,159,0.0
-1289060833#2,160,161,0.0
-1301356096,104,162,0.0
-1302724481,163,164,0.0
-131234621#0,165,166,0.0
-131234621#1,167,165,0.0
-131234622,168,133,0.0
-131253373#1,169,58,0.0
-131253374,170,171,0.0
-131253376#1,172,47,0.0
-131253376#2,173,172,0.0
-131253378,174,175,0.0
-143057214,176,114,0.0
-143061634,177,178,0.0
-147191600#5,179,120,0.0
-155109974#4,121,180,0.0
-165401095#1,181,182,0.0
-176851102#1,183,184,0.0
-176851102#3,185,183,0.0
-176851105,185,186,0.0
-176851113#2,186,125,0.0
-176851113#4,187,186,0.0
-176851115#1,188,189,0.0
-177301814,190,191,0.0
-177301837,192,193,0.0
-177427888#0,194,195,0.0
-177427888#1,196,194,0.0
-177427891#0,197,198,0.0
-177427891#1,195,197,0.0
-177428766,199,200,0.0
-201554042#0,201,202,0.0
-201554042#1,203,201,0.0
-201554058#1,202,204,0.0
-201558157#0,205,156,0.0
-201558157#1,206,205,0.0
-201558157#4,207,206,0.0
-201558159,207,208,0.0
-201558172,209,206,0.0
-201567418#1,210,211,0.0
-201567431#1,212,213,0.0
-201567461#0,214,215,0.0
-201567461#1,216,214,0.0
-201567461#4,217,216,0.0
-201574226,218,208,0.0
-201587239#0,213,219,0.0
-201587239#1,220,213,0.0
-201587840#0,221,216,0.0
-201587840#2,210,221,0.0
-201587840#3,222,210,0.0
-201624105#0,223,224,0.0
-201624105#1,225,223,0.0
-201624105#4,92,225,0.0
-201835024#0,226,227,0.0
-202399727#1,228,229,0.0
-203097072#0,230,231,0.0
-203097072#1,98,230,0.0
-207602447#2,232,233,0.0
-207602447#3,234,232,0.0
-207602457,235,205,0.0
-207625916,236,237,0.0
-207625917,238,239,0.0
-207625920,240,143,0.0
-207625934,241,242,0.0
-207626643#1,243,244,0.0
-207637464#1,245,246,0.0
-207719090#0,231,247,0.0
